"id_palabra","Palabra","id_cronista","id_texto","cita","pagina"
9001,"Acapana",9,"T9001","Ay otro género de <italic>guaca</italic> que llaman <strong>acapana</strong> que era aplicado a las guerras que tratavan, a quien pedían favor.  Esta es unos rayos que haze el cielo, que los muchachos llaman en Castilla ovejuelas.  Y todas las vezes que ven esta señal en el cielo, ques muy ordinaria, la <italic>mochan</italic> con mucho cuidado.  Y para este sacrificio aplicavan la pluma de unas aves que llaman <italic>guachuas</italic> que son como ánsares d´España: la pluma menor la queman, y soplan la ceniza a la tal <strong>acapana</strong>, y las mayores ponen en las lanÇas dende el hierro al regatón a todas por muy buen orden: también llaman para este efeto <strong>acapana</strong> a los torvellinos que en la tierra se hazen del aire.",166
9002,"Acchu",9,"T9002","<italic>Mallacleui</italic>, <italic>guaca</italic> prencipal de los indios <italic>achus</italic>, es un bolcán junto al pueblo de <strong>Acchu</strong>.  Al pie del está una laguna y en medio una piedra grande, es su <italic>pacarisca</italic>.  <italic>Uullotoa</italic>  [Vicllotoa?] <italic>guaca</italic> prencipal de los dichos indios <italic>achus</italic>, es una laguna cercada de piedras y en medio della está una peña.  Dizén que de día da oscuridad y de noche lumbre. ",189
9003,"Achapay",9,"T9003","<strong>Achapay</strong>, <italic>guaca</italic> de piedra muy labrada.",179
9004,"Achus",9,"T9004","<italic>Mallacleui</italic>, <italic>guaca</italic> prencipal de los indios <strong>achus</strong>, es un bolcán junto al pueblo de <italic>Acchu</italic>.  Al pie del está una laguna y en medio una piedra grande, es su <italic>pacarisca</italic>.  <italic>Uullotoa</italic>  [Vicllotoa?] <italic>guaca</italic> prencipal de los dichos indios <strong>achus</strong>, es una laguna cercada de piedras y en medio della está una peña.  Dizén que de día da oscuridad y de noche lumbre. ",189
9005,"Acollico",9,"T9005","Ay otro género de <italic>guacas</italic> muy ordenario en todos los caminos y puertos dellos en todo el <italic>Pirú</italic>, que llaman <italic>apachita</italic> o <italic>camachico</italic> por otro nombre.  Estas las ay en todas las asomadas y bertientes de los caminos, a las cuales saludan y ofrescen los que van con cargas o fatigados de andar, y les ofrescen una oración o una piedra, de tal manera que en los dichos lugares ay muchos más montes dellas.  Otros escarvan la tierra en la propia <italic>guaca</italic> y, escarvándola, cuenta[n] sus travajos o prosperidades a la dicha <italic>guaca</italic>.  Otros hazen nudos a las pajas questán cerca.  Otros ofrescen ramos de leña, otros flores o plumas de pariguanas, que son de unas aves que llaman flamencos en España.  Otros, <strong>acollicos</strong> de <italic>coca</italic> o <italic>maíz</italic>; el <strong>acollico</strong> es un poco de<italic>coca</italic> mascada o lo que cada cual tiene por devoción.",168
9005,"Acollico",9,"T9006","Ay deste género en los caminos reales otras <italic>guacas</italic> llamadas  <italic>ormaychico</italic> debaxo de peñas o de cerros que amenazan caídas, que los indios <italic>mochan</italic> y sirven con aquellos bocados de <italic>coca</italic> que llaman <strong>acollicos</strong> o con otros   <italic>mantenimientos</italic> que bayan comiendo.  Es imposible tirarles esta superstrición porque para tirar las <italic>guacas</italic> es necesario mucha fuerza de gente que toda la del <italic>Pirú</italic> no es parte [para] mandar estas piedras ni cerros.","168-169"
9005,"Acollico",9,"T9007","Aunque pienso dar fastidio diré una niñería y patraña que los naturales de los confines de  <italic>Lima</italic> tienen en la sierra, como ban a <italic>Guadocherí</italic> de acá, en todas las lagunas antes que llegan a Las Escaleras, y es que naturaleza en aquellas peñas, en la traviesa dellas que atraviesa el camino real de una legua a otra, crío una beta de mármol blanco de longitud larga.  Y los naturales cercanos a ella creen y dizen que, cuando los españoles entraron en estos reinos, salió de la una laguna la culebra llamada  <italic>amaro</italic> para irse a la otra y con la nueva se enfrió y se tornó piedra.  Tiene señal de culebra, porque yo la e visto.  Todas las  <italic>provincias</italic> alrededor la <italic>mochan</italic>, cuando pasan por allí, con mucha reverencia.  Dízese tener en los  <italic>yauyos</italic> muchos servicio[s] y ganados y chácaras que le an ofrescido y en  <italic>Guadochirí</italic> y en los pueblos allí comarcanos.  Yo e visto encima della muchos <strong>acollicos</strong> y ofrescimientos todas las bezes que por allí e pasado.",175
9006,"Ala",9,"T9008","<italic>Apocatiquillay</italic>, <italic>guaca</italic> de las más prencipales del reino, de los indios <italic>guamanchucos</italic>.  Era unas piedras altas en un llano, y como en el aire encima destas, cerca del pueblo de <italic>Uruchalla</italic>.  <italic>Pomacamas</italic>, <italic>guaca</italic> prencipal de los indios <italic>guamanchucos</italic> de la <italic>parcialidad</italic> de <italic>guacapongo</italic>.  Era una piedra en un cerro junto al pueblo de <italic>guacapongo</italic>.  <italic>Guaracayoc</italic>, <italic>guaca</italic> de los indios <italic>guamachucos</italic>, era su <italic>pacarisca</italic>.  <italic>Namuday</italic>, <italic>guaca</italic> de los indios <italic>guamachucos</italic>, del <italic>ayllo</italic> <italic>Llampa</italic>.  Es una peña en una quebrada que se llama <italic>Quichuas</italic>, cerca de un pueblo llamado <strong>Ala</strong>.",186
9007,"Alca",9,"T9009","<italic>Cantungui</italic>, que era un escuadrón de piedras como gentes de guerra, camino de <strong>Alca</strong>.",179
9008,"Amayabamba",9,"T9010","<italic>Zunis</italic>, es una <italic>guaca</italic> de los indios <italic>huringuancas</italic>; es una piedra questá en un cerrillo, cerca de <strong>Amarayuilca</strong>.",183
